,x,y,cell_id,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10
0,0.518618776042657,0.4758199385590209,1,-74.0893390580637,-85.07639570999392,-92.40797300524298,-99.22013651845293,-85.40623073331201,-92.42582723415032,-97.21460594997252,-93.23464828651916,-98.0982145918004,-95.7698468526165,-102.0296813471179
1,0.5063957772299635,0.4442539115781453,1,-77.16669327936712,-82.51432407356864,-94.54703652267156,-100.31165566497592,-90.77238972237846,-96.86630139451827,-99.59004527306459,-97.1685194795004,-98.02064625242267,-99.85888716685,-99.59476720489744
2,0.5263606130461355,0.5713709404717116,1,-75.10263783924607,-85.08410960363604,-92.24337289088226,-98.70219974511495,-89.26093468547523,-89.96523539959631,-100.23876445010758,-96.1896251691956,-94.69039851983469,-100.21822923720916,-98.9588826554216
3,0.48146135492446285,0.47325569759744457,1,-73.18747258024183,-85.04204777996954,-92.23465491300513,-100.4450717439351,-87.60311797425047,-92.5652904024519,-96.913393613041,-94.86872322293289,-92.85635489442119,-101.04879245249802,-102.01357853174866
4,0.5875221723640711,0.4543936515967998,1,-77.13094342373503,-87.14273054606873,-94.1830144847912,-99.65858568741527,-89.03289490558859,-94.4041100288332,-93.64996254421102,-97.57392667239395,-96.2661778694163,-93.30113029972537,-100.02452262385296
5,0.5189510445317778,0.4543230599219996,1,-77.22323027218503,-83.9843472943478,-97.58349989237578,-97.22597320163125,-91.84974443534958,-93.29875072369039,-99.46663618612264,-95.1189962561243,-95.69481212779415,-99.31333103230796,-101.09012803984845
6,0.5093531873828642,0.4085466129337246,1,-75.1604803476153,-82.7505753810678,-92.75923038824843,-97.78815273103469,-88.83794801608641,-91.6745039563144,-97.49356832082029,-92.8056413274791,-95.9721941505662,-98.93686179471409,-101.47199129525012
7,0.5340186797120275,0.4503293004912061,1,-73.50675345215022,-86.36898174527303,-91.45923549899238,-95.24396863122212,-94.1970194259431,-91.30143360500875,-94.92985332136864,-96.13719038692479,-98.61647135309599,-98.54602722697295,-96.424613256224
8,0.4387744765261928,0.4362303803798884,1,-74.98811079701895,-84.86274357963747,-92.93539412939546,-99.48115229498498,-86.4597098833287,-92.19633001618053,-96.9574110779928,-93.00114864565498,-91.43505507536709,-98.37690509947586,-101.19152014546745
9,0.561506478278499,0.44127023348329836,1,-74.29507450646776,-84.53484039777086,-94.81811297058842,-101.74816971971492,-88.81500616074074,-90.62460079588591,-98.13046639732002,-93.87649598802828,-96.78633248802616,-93.23694528601703,-98.72680691847872
10,0.45970462445114546,1.5224709940836934,2,-69.91180332946104,-83.1166531180758,-94.88284761888201,-94.24319311761175,-83.86798097351699,-93.24312829922765,-98.22630296479865,-92.28563136542189,-94.40100669482706,-95.78316417456232,-100.75801481277615
11,0.5369978058258644,1.4492720469834546,2,-70.78319306336287,-80.98608503753292,-94.82638569463587,-98.27633470700847,-88.34440780018181,-94.26841916242918,-95.73154114084782,-95.56228573907103,-92.62860213281283,-98.17783960987016,-101.26065783788353
12,0.48501240518787786,1.5519174123397248,2,-69.79143851283023,-87.0766593972712,-92.1583219527438,-97.89517692443266,-90.65896610517889,-93.46433765885112,-98.97731515413032,-95.93125945410279,-92.8476611463388,-98.78392803363606,-103.16258988506196
